,Airline,Category
171,Luxaviation Germany,Fractional/Corporate
172,IXAIR,Fractional/Corporate
173,DAT (Danish Air Transport),Regional
174,Spirit Airlines,Major/National/Low Cost
175,Skybus,Regional
176,S,Regional
177,Emerald Airlines,Regional
178,Hyperion Aviation,Fractional/Corporate
179,2 Excel Aviation,Regional
180,Easyjet (German Contract),Major/National/Low Cost
181,Norwegian,Major/National/Low Cost
182,Skyborne Airline Academy,Regional
183,DHL Air Austria,Cargo
184,Wizz Air Abu Dhabi,Major/National/Low Cost
185,Wizz Air Abu Dhabi,Major/National/Low Cost
186,Wamos Air,Charter
187,Icelandair,Major/National/Low Cost
188,Valljet,Fractional/Corporate
189,ABS Jets,Fractional/Corporate
190,flydubai,Major/National/Low Cost
191,Citilink Indonesia,Major/National/Low Cost
192,Nomad Aviation,Fractional/Corporate
193,Air New Zealand,Legacy
194,Fly Air41,Charter
195,Gama Aviation Ltd,Fractional/Corporate
196,Braathens Regional Airways (BRA),Regional
197,Mena Cargo,Cargo
198,Texal Air,Cargo
199,Transavia France,Major/National/Low Cost
200,Maleth-Aero,Charter
201,Valair Private Jets,Fractional/Corporate
202,BA CityFlyer,Major/National/Low Cost
203,Aura Airlines,Charter
204,VistaJet,Fractional/Corporate
205,Easyjet German Contract,Major/National/Low Cost
206,Delta Air Lines,Legacy
207,TL Aviation GmbH,Charter
208,Luebeck Air,Regional
209,Air Est,Cargo
210,Cityjet Estonia (Closed),Regional
211,easyJet Switzerland,Major/National/Low Cost
212,Harmony Jets,Fractional/Corporate
213,Olympus Airbus (Closed),Charter
214,Salam Air,Major/National/Low Cost
215,Jazeera Airways,Major/National/Low Cost
216,Blubird Nordic,Charter
217,Copa Airlines,Legacy
218,Latam Airlines,Legacy
219,Air Caledonie,Regional
220,Air Caledonie,Regional
221,LEVEL Europe (Closed),Major/National/Low Cost
222,Virgin America (Closed),Major/National/Low Cost
223,Tyrolean Jet Services,Charter
224,Global Supply Systems (Closed),Cargo
225,West Atlantic UK,Cargo
226,SAS Ireland,Major/National/Low Cost
227,Meridiana Fly (Closed),Major/National/Low Cost
228,Blue Panorama Airlines,Major/National/Low Cost
229,Great Dane Airlines,Charter
230,ACM Air Charter,Fractional/Corporate
231,ASL,Fractional/Corporate
232,Beijing Capital Airline (Closed),Major/National/Low Cost
233,Beijing Capital Airline (Closed),Major/National/Low Cost
234,Lalona Air (Closed),Regional
235,FTE Jerez,Regional
236,Neos,Charter
237,Medavia,Charter
238,Cargologic Germany,Cargo
239,Alitalia,Major/National/Low Cost
240,Iberia Express,Major/National/Low Cost
241,Royal Air Maroc,Major/National/Low Cost
242,Surinam Airways,Major/National/Low Cost
243,Air Antilles Express,Regional
244,TUIfly,Charter
245,Northwings GmbH,Fractional/Corporate
246,JETSTAR,Major/National/Low Cost
247,Cathay Pacific,Legacy
248,Silkway West Airlines,Cargo
249,Bluebird,Regional
250,Woodgate Aviation,Charter
251,DragonFly Executive Air Charter,Fractional/Corporate
252,Stobart Air (Closed),Regional
253,AHK Air Hong Kong limited,Cargo
254,Nyx Air,Charter
255,easyJet (Portuguese Contract),Major/National/Low Cost
256,American,Legacy
257,United Airlines,Legacy
258,Onur Air,Major/National/Low Cost
259,Thales UK (Flight School),Regional
260,Turweston Flying Club (Flight School),Regional
261,T6 Harvard Aviation (UK),Regional
262,Stapleford Flight Centre (Flight School),Regional
263,Premier Flight Training (Flight School),Regional
264,Yorkshire Aero Club (Flight School),Regional
265,Headcorn Aerodrome (Flight School),Regional
266,West London Aero Club,Regional
267,Specialist Flight Training (Flight School),Regional
