URL,Airline,Year,Top/Base,Salary_info,salary,currency,gross-net
https://www.pilotjobsnetwork.com/jobs/Heston_Airlines,Heston Airlines,2023,CaptMin,"Option 1 20 ON, 1 POS, 8 OFF, 1 POS Option 2 : 20 ON, 1 POS, 10 OFF, 1 POS",48000,EUR,
https://www.pilotjobsnetwork.com/jobs/HOP,HOP,2018,CaptMax,11173,134076,EUR,
https://www.pilotjobsnetwork.com/jobs/HOP,HOP,2018,CaptMin,5812,69744,EUR,
https://www.pilotjobsnetwork.com/jobs/Aegean_Airlines,Aegean Airlines,2015,CaptMax,5000/month net,60000,EUR,net
https://www.pilotjobsnetwork.com/jobs/Aegean_Airlines,Aegean Airlines,2015,CaptMin,3200/month net,38400,EUR,net
https://www.pilotjobsnetwork.com/jobs/Virgin_Atlantic_Airways,Virgin Atlantic Airways,2023,CaptMax,From April 2023: Â£170938,170938,GBP,
https://www.pilotjobsnetwork.com/jobs/Virgin_Atlantic_Airways,Virgin Atlantic Airways,2023,CaptMin,From April 2023: Â£134251,134251,GBP,
https://www.pilotjobsnetwork.com/jobs/Loganair,Loganair,2023,CaptMax,Circa Â£80k,80000,GBP,
https://www.pilotjobsnetwork.com/jobs/Loganair,Loganair,2023,CaptMin,Circa Â£50k,50000,GBP,
https://www.pilotjobsnetwork.com/jobs/KLM_(Royal_Dutch_Airlines),KLM (Royal Dutch Airlines),2023,CaptMax,â¬21.697 x 14 = â¬303.758 (12 month salaries + double salary in May and December) not including profit-share bonus.,303758,EUR,
https://www.pilotjobsnetwork.com/jobs/KLM_(Royal_Dutch_Airlines),KLM (Royal Dutch Airlines),2023,CaptMin,â¬9.976 x 14 = â¬139.664 Capt Embraer (12 month salaries + double salary in May and December) not including profit-share bonus.,139664,EUR,
https://www.pilotjobsnetwork.com/jobs/Private_Wings_Flugcharter_GmbH,Private Wings Flugcharter GmbH,2023,CaptMax,6000,72000,EUR,
https://www.pilotjobsnetwork.com/jobs/Private_Wings_Flugcharter_GmbH,Private Wings Flugcharter GmbH,2023,CaptMin,5700,68400,EUR,
https://www.pilotjobsnetwork.com/jobs/Volotea,Volotea,2023,CaptMax,Before tax CPT basic salaries: CP1=8640 for60h CP2=6450 for50h CP3=5950 for50h CP4=5450 for50h CP5=4700 for 50h New joiners are CP5 or CP4 if >1000 FH PIC on FBW. CP1 BH>60=144â¬  BH>67=180â¬ CP2: BH>50=129â¬ BH>67=161â¬,103680,EUR,gross
https://www.pilotjobsnetwork.com/jobs/Volotea,Volotea,2023,CaptMin,Before tax: BH >50: CP3=119/H CP4=109/H CP5=93/H BH>67 CP3=148/H CP4=136/H CP5=117/H LSC=+25/H Expect 80h/month in summer and mini bloc hours in winter.,56400,EUR,gross
https://www.pilotjobsnetwork.com/jobs/Global_Jet,Global Jet,2011,CaptMax,Capt top 15000 eur,180000,EUR,
https://www.pilotjobsnetwork.com/jobs/Global_Jet,Global Jet,2018,CaptMin,5500,66000,EUR,gross
https://www.pilotjobsnetwork.com/jobs/European_Air_Transport_Leipzig_GmbH,European Air Transport Leipzig GmbH,2023,CaptMax,11.312â¬ (basic pay) Gross.,135744,EUR,gross
https://www.pilotjobsnetwork.com/jobs/European_Air_Transport_Leipzig_GmbH,European Air Transport Leipzig GmbH,2023,CaptMin,8.873â¬ (basic pay) Gross.,106476,EUR,gross
https://www.pilotjobsnetwork.com/jobs/Wizz_Air_UK,Wizz Air UK,2023,CaptMax,"170000 GBP/yr after 12000 PIC hours at Wizz Air, including distance and landing pay. Not including: Day off payments, discretion or encroaching payments.",170000,GBP,
https://www.pilotjobsnetwork.com/jobs/Wizz_Air_UK,Wizz Air UK,2023,CaptMin,"120000 GBP/yr as a new captain, including distance and landing pay not including day off payments, discretion or encroaching payments.",120000,GBP,
https://www.pilotjobsnetwork.com/jobs/Eurowings_Discover,Eurowings Discover,2022,CaptMax,12550,150600,EUR,
https://www.pilotjobsnetwork.com/jobs/Eurowings_Discover,Eurowings Discover,2022,CaptMin,8350,100200,EUR,
